0.0, 	  
 0.0006363625063007221 6805.662028967401, 114590632.42227879, 3.0010642388017496e-08, 0.9999999999636882, 165212358.1595739, 2.0834349919813404e-07, 0.9998705546134651. 121744896.96351896, 2.0387147124691156e-07, 0.5192743762233102, 
0.0, 	  
 7.603725108341044e-05 6800.000866970988, 159718006.86755332, 2.610282271488674e-08, 0.9827469151273198, 31304.82821560723, 9.717447731103108e-06, 0.9999886728254903. 267967263.02881253, 2.3846702553026263e-07, 0.5198348927046073, 
-1.0, 	  
 0.0012069359621074316 6800.000000000026, 6806452.5710877795, 9.99859536247116e-08, 0.7800000000127133, 21969303.88603835, 2.211658551648235e-07,
                             0.9999999971083389, 22457816.933579654, 8.453103523817378e-07, 0.49523542257397907, 
-1.0, 	  
 0.0001524522108108927 6800.001492666519, 3991222.872506976, 9.921799080994646e-08, 0.7800000372313176, 30058849.98086725, 1.3590160638265155e-07,
                             0.8770655172931766, 4111356159.310771, 8.886804216957413e-06, 0.5197712846635879, 
-1.0, 	  
 0.00015929824599048982 6800.284043705107, 4072288.1188655677, 9.783495158531267e-08, 0.7801343862894148, 29728723.327600908, 1.3676704198055002e-07,
                             0.8818863095876415, 2731795783.1402874, 9.999970789568003e-06, 0.5157027374529917, 
-0.75, 	  
 4.3632061992855665e-05 6800.000000000001, 1.3897878379227162e-06, 1.4191801543585272e-09, 0.7810534993950117, 31221038.81931576, 2.384561455802144e-07,
                             0.7800000006939809, 28509527.67051968, 6.886854139780863e-07, 0.5199999999999999, 
-0.5, 	  
 0.00010258666703078383 6820.812783688869, 81707764.73088883, 5.47673210707094e-08, 0.8547799752849996, 13852225.309960272, 1.6315234739429968e-07,
                             0.9218236602973291, 210482731.43558884, 5.532585834812441e-06, 0.5158475545898693, 
-0.25, 	  
 7.253238124458284e-05 6800.000000000001, 90086392.8591496, 2.9129814692633383e-08, 0.9835394594233431, 2148682.522595917, 1.540568433462859e-07,
                             0.9999999999999999, 4765951.087302451, 6.40083190064947e-07, 0.5199999999999999, 
0.0, 	  
