Name        	mass	temp	slope	interecept	Hads (kJ/mol)	SA(m3/g)
CeO₂	46	75	 21260709370786.46	 636857124202.29	 52.01	 5.31
UO₂	65	75	 12875527259992.14	 962732482232.76	 49.48	 5.94
