Name        	mass	temp	slope	interecept	Hads (kJ/mol)	SA(m3/g)
CeO₂ (oxalate)	69	75	 5149005749837.39	 149335375501.89	 52.10	 14.62
ThO₂ (oxalate)	70.5	75	 4961472361493.36	 74141002364.54	 53.97	 15.06
UO₂ (oxalate)	55	75	 7751517927411.11	 241704297446.01	 51.89	 12.16
