Name        	mass	temp	slope	interecept	Hads (kJ/mol)	SA(m3/g)
CeO₂ (oxalate)	69	75	 5149005749837.39	 149335375501.89	 52.10	 14.62
CeO₂ (nitrate)	46	75	 10630341729793.85	 318431358671.71	 52.01	 10.61
