Name        	mass	temp	slope	interecept	Hads (kJ/mol)	SA(m3/g)
UO₂ (oxalate)	55	75	 7751517927411.11	 241704297446.01	 51.89	 12.16
UO₂ (nitrate)	65	75	 6437740554576.68	 481369737633.85	 49.48	 11.88
