sep=,
File.......:   - JUL;06.2018
System.....:  
Potential..:  3.000V
Current....:  412.86nA
Temperature:  0.0+-0.0C
Time.......:  10:02:42 - 10:12:30
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   45
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0566e+03,5.4390e+04,-61.97,1.000,0.0
2,1.5438e+03,4.0251e+04,-62.53,0.999,1.5
3,2.2557e+03,3.0293e+04,-59.48,0.999,2.1
4,3.2957e+03,2.3161e+04,-55.38,0.999,2.6
5,4.8153e+03,1.8140e+04,-50.15,0.999,3.1
6,7.0355e+03,1.4631e+04,-44.19,0.999,3.5
7,1.0279e+04,1.2217e+04,-37.79,1.000,4.0
8,1.5019e+04,1.0578e+04,-31.33,1.000,4.4
9,2.1944e+04,9.4662e+03,-25.29,1.000,4.8
10,3.2061e+04,8.7186e+03,-19.77,1.000,5.2
11,4.6844e+04,8.2191e+03,-14.94,1.000,5.7
12,6.8443e+04,7.9179e+03,-10.64,1.000,6.1
13,1.0000e+05,7.8060e+03,-7.05,1.000,6.5
14,6.8443e+04,7.9127e+03,-10.59,1.000,6.9
15,4.6844e+04,8.2035e+03,-14.74,1.000,7.4
16,3.2061e+04,8.6776e+03,-19.47,1.000,7.8
17,2.1944e+04,9.3854e+03,-24.87,1.000,8.2
18,1.5019e+04,1.0435e+04,-30.79,0.999,8.7
19,1.0279e+04,1.1975e+04,-37.17,1.000,9.1
20,7.0355e+03,1.4233e+04,-43.59,0.999,9.5
21,4.8153e+03,1.7518e+04,-49.63,0.999,9.9
22,3.2957e+03,2.2226e+04,-55.02,1.000,10.3
23,2.2557e+03,2.8901e+04,-59.31,0.999,10.8
24,1.5438e+03,3.8261e+04,-62.51,1.000,11.2
25,1.0566e+03,5.1199e+04,-64.65,0.999,11.6
26,7.2320e+02,6.9111e+04,-65.68,0.998,12.1
27,4.9498e+02,9.3452e+04,-64.51,0.999,12.8
28,3.3878e+02,1.2633e+05,-63.51,0.999,13.4
29,2.3187e+02,1.6981e+05,-61.34,0.997,13.9
30,1.5870e+02,2.2558e+05,-57.43,0.996,14.3
31,1.0862e+02,2.9291e+05,-52.07,0.995,14.8
32,7.4340e+01,3.6869e+05,-45.36,0.993,15.3
33,5.0418e+01,4.0195e+05,-39.26,0.993,16.6
34,3.3363e+01,5.0887e+05,-29.74,0.991,18.3
35,2.1460e+01,5.6464e+05,-22.50,0.989,19.5
36,1.3356e+01,6.0401e+05,-16.11,0.988,21.1
37,7.9955e+00,6.2797e+05,-11.19,0.988,23.0
38,4.5704e+00,6.4449e+05,-7.72,0.988,25.5
39,2.4714e+00,6.5390e+05,-5.70,0.987,29.2
40,1.2494e+00,6.5511e+05,-4.46,0.987,38.8
41,5.8210e-01,6.5577e+05,-4.13,0.987,50.4
42,2.4598e-01,6.4863e+05,-4.52,0.986,73.3
43,9.3081e-02,6.4075e+05,-5.63,0.987,123.4
44,3.1623e-02,6.8355e+05,-5.26,0.976,231.7
45,1.0000e-02,7.5814e+05,-2.21,0.986,486.9
