sep=,
File.......:   - JUL;06.2018
System.....:  
Potential..:  2.000V
Current....:  218.62nA
Temperature:  0.0+-0.0C
Time.......:  09:00:24 - 09:06:46
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   78
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.1156e+03,1.1766e+04,-41.61,1.000,0.0
2,1.3968e+03,1.0679e+04,-37.73,1.000,1.8
3,1.7489e+03,9.8151e+03,-33.90,1.000,2.3
4,2.1897e+03,9.1327e+03,-30.20,1.000,2.8
5,2.7417e+03,8.5895e+03,-26.74,1.000,3.3
6,3.4327e+03,8.1562e+03,-23.55,1.000,3.8
7,4.2980e+03,7.8095e+03,-20.58,1.000,4.3
8,5.3813e+03,7.5252e+03,-17.98,1.000,4.8
9,6.7377e+03,7.2906e+03,-15.66,1.000,5.3
10,8.4360e+03,7.0938e+03,-13.60,1.000,5.8
11,1.0562e+04,6.9276e+03,-11.74,1.000,6.3
12,1.3225e+04,6.7867e+03,-10.04,1.000,6.7
13,1.6558e+04,6.6671e+03,-8.50,1.000,7.2
14,2.0732e+04,6.5664e+03,-7.05,1.000,7.7
15,2.5957e+04,6.4850e+03,-5.64,1.000,8.2
16,3.2500e+04,6.4120e+03,-4.25,1.000,8.7
17,4.0692e+04,6.3836e+03,-2.92,1.000,9.2
18,5.0948e+04,6.3660e+03,-1.60,1.000,9.7
19,6.3790e+04,6.3781e+03,-0.29,1.000,10.2
20,7.9869e+04,6.4283e+03,0.97,1.000,10.7
21,1.0000e+05,6.5207e+03,2.06,1.000,11.2
22,7.9869e+04,6.4296e+03,0.92,1.000,11.7
23,6.3790e+04,6.3822e+03,-0.29,1.000,12.2
24,5.0948e+04,6.3666e+03,-1.62,1.000,12.7
25,4.0692e+04,6.3847e+03,-2.97,1.000,13.1
26,3.2500e+04,6.4079e+03,-4.43,1.000,13.6
27,2.5957e+04,6.4905e+03,-5.74,1.000,14.1
28,2.0732e+04,6.5738e+03,-7.18,1.000,14.6
29,1.6558e+04,6.6771e+03,-8.67,1.000,15.1
30,1.3225e+04,6.8003e+03,-10.27,1.000,15.6
31,1.0562e+04,6.9450e+03,-12.04,1.000,16.1
32,8.4360e+03,7.1170e+03,-13.99,1.000,16.6
33,6.7377e+03,7.3210e+03,-16.16,1.000,17.1
34,5.3813e+03,7.5659e+03,-18.63,1.000,17.5
35,4.2980e+03,7.8650e+03,-21.42,1.000,18.0
36,3.4327e+03,8.2337e+03,-24.63,1.000,18.5
37,2.7417e+03,8.7006e+03,-28.09,1.000,19.0
38,2.1897e+03,9.2941e+03,-31.88,1.000,19.5
39,1.7489e+03,1.0053e+04,-35.95,0.999,20.0
40,1.3968e+03,1.1028e+04,-40.16,1.000,20.5
41,1.1156e+03,1.2278e+04,-44.43,1.000,21.0
42,8.9104e+02,1.3869e+04,-48.63,0.999,21.4
43,7.1166e+02,1.5885e+04,-52.59,1.000,21.9
44,5.6839e+02,1.8428e+04,-56.25,0.999,22.4
45,4.5397e+02,2.1611e+04,-59.44,0.999,22.9
46,3.6258e+02,2.5560e+04,-62.34,0.999,23.4
47,2.8959e+02,3.0457e+04,-64.84,0.998,23.9
48,2.3129e+02,3.6482e+04,-66.92,0.999,24.4
49,1.8473e+02,4.3863e+04,-68.62,0.999,24.9
50,1.4754e+02,5.2911e+04,-69.97,0.999,25.3
51,1.1784e+02,6.4080e+04,-71.03,0.999,26.0
52,9.4115e+01,7.7832e+04,-71.61,0.999,26.8
53,7.5168e+01,9.4531e+04,-72.16,0.998,27.6
54,5.9720e+01,1.1563e+05,-72.72,0.998,29.0
55,4.7292e+01,1.4244e+05,-72.76,0.998,30.9
56,3.7327e+01,1.7439e+05,-72.38,0.998,32.2
57,2.9364e+01,2.1570e+05,-71.91,0.997,33.7
58,2.3024e+01,2.6612e+05,-70.98,0.997,35.3
59,1.7994e+01,3.2909e+05,-69.68,0.996,37.2
60,1.4016e+01,4.0679e+05,-68.14,0.997,39.3
61,1.0883e+01,5.0246e+05,-66.10,0.995,41.6
62,8.4230e+00,6.1808e+05,-63.57,0.995,44.3
63,6.4987e+00,7.6152e+05,-60.44,0.994,48.0
64,4.9988e+00,9.2511e+05,-57.14,0.993,52.1
65,3.8337e+00,1.1164e+06,-53.54,0.992,56.5
66,2.9318e+00,1.3341e+06,-49.48,0.992,61.6
67,2.2359e+00,1.5753e+06,-45.15,0.991,68.0
68,1.7008e+00,1.8045e+06,-40.53,0.946,79.2
69,1.2907e+00,2.0130e+06,-37.35,0.905,88.9
70,9.7721e-01,2.4509e+06,-33.15,0.989,103.4
71,7.3838e-01,2.7672e+06,-29.37,0.989,118.3
72,5.5689e-01,3.1011e+06,-25.82,0.988,135.7
73,4.1935e-01,3.4522e+06,-22.48,0.990,158.3
74,3.1534e-01,3.7732e+06,-19.55,0.989,185.7
75,2.3687e-01,4.1781e+06,-17.26,0.988,219.5
76,1.7778e-01,4.4928e+06,-15.35,0.987,257.7
77,1.3335e-01,4.8939e+06,-13.49,0.989,303.9
78,1.0000e-01,5.2469e+06,-11.96,0.991,360.4
