sep=,
File.......:   - JUL;06.2018
System.....:  
Potential..:  0.500V
Current....:  29.183nA
Temperature:  0.0+-0.0C
Time.......:  10:28:54 - 10:39:23
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   58
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0609e+03,2.3181e+04,-60.29,0.999,0.0
2,1.4095e+03,1.8947e+04,-56.60,0.999,1.7
3,1.8727e+03,1.5707e+04,-52.30,1.000,2.2
4,2.4880e+03,1.3257e+04,-47.42,1.000,2.7
5,3.3056e+03,1.1428e+04,-42.18,1.000,3.1
6,4.3918e+03,1.0085e+04,-36.70,0.999,3.5
7,5.8350e+03,9.1059e+03,-31.40,1.000,4.0
8,7.7524e+03,8.3980e+03,-26.44,0.999,4.4
9,1.0300e+04,7.8837e+03,-21.97,1.000,4.8
10,1.3685e+04,7.5056e+03,-18.01,1.000,5.3
11,1.8181e+04,7.2255e+03,-14.56,1.000,5.8
12,2.4156e+04,7.0156e+03,-11.51,1.000,6.2
13,3.2093e+04,6.8676e+03,-8.78,1.000,6.7
14,4.2640e+04,6.7675e+03,-6.29,1.000,7.1
15,5.6651e+04,6.7176e+03,-4.01,1.000,7.5
16,7.5267e+04,6.7391e+03,-1.95,1.000,8.0
17,1.0000e+05,6.8214e+03,-0.21,1.000,8.4
18,7.5267e+04,6.7356e+03,-1.91,1.000,8.8
19,5.6651e+04,6.7213e+03,-4.01,1.000,9.3
20,4.2640e+04,6.7687e+03,-6.29,1.000,9.7
21,3.2093e+04,6.8620e+03,-8.75,1.000,10.1
22,2.4156e+04,7.0144e+03,-11.51,1.000,10.6
23,1.8181e+04,7.2218e+03,-14.56,1.000,11.0
24,1.3685e+04,7.5033e+03,-18.02,1.000,11.4
25,1.0300e+04,7.8807e+03,-21.98,1.000,11.9
26,7.7524e+03,8.3944e+03,-26.46,1.000,12.3
27,5.8350e+03,9.1019e+03,-31.45,1.000,12.7
28,4.3918e+03,1.0082e+04,-36.77,0.999,13.2
29,3.3056e+03,1.1427e+04,-42.28,0.999,13.6
30,2.4880e+03,1.3261e+04,-47.55,0.999,14.1
31,1.8727e+03,1.5723e+04,-52.47,1.000,14.5
32,1.4095e+03,1.8983e+04,-56.80,0.999,14.9
33,1.0609e+03,2.3246e+04,-60.52,0.999,15.4
34,7.9849e+02,2.8773e+04,-63.65,1.000,15.8
35,6.0100e+02,3.5894e+04,-66.17,1.000,16.2
36,4.5235e+02,4.4968e+04,-68.14,0.999,16.7
37,3.4047e+02,5.6700e+04,-69.66,0.999,17.1
38,2.5626e+02,7.1634e+04,-70.46,1.000,17.9
39,1.9288e+02,9.0519e+04,-71.49,1.000,18.6
40,1.4518e+02,1.1474e+05,-72.35,1.000,19.0
41,1.0927e+02,1.4558e+05,-72.86,0.999,19.5
42,8.2244e+01,1.8401e+05,-73.25,0.999,20.0
43,6.1905e+01,2.3638e+05,-73.80,0.999,20.6
44,4.5924e+01,3.0183e+05,-73.98,0.999,22.0
45,3.3514e+01,3.9584e+05,-73.71,0.998,23.7
46,2.4006e+01,5.2118e+05,-72.87,0.993,25.0
47,1.6831e+01,6.9917e+05,-72.22,0.985,26.6
48,1.1512e+01,9.5987e+05,-70.30,0.995,28.8
49,7.6477e+00,1.3368e+06,-68.24,0.996,31.4
50,4.9079e+00,1.9030e+06,-64.96,0.998,34.1
51,3.0209e+00,2.7335e+06,-60.31,0.998,37.7
52,1.7666e+00,3.9260e+06,-53.52,0.999,44.4
53,9.6928e-01,5.5510e+06,-44.92,0.998,53.1
54,4.9057e-01,7.4876e+06,-35.11,0.998,67.3
55,2.2410e-01,9.6492e+06,-25.23,0.999,97.1
56,9.0216e-02,1.1720e+07,-16.06,0.999,157.0
57,3.1623e-02,1.3138e+07,-8.65,0.996,271.6
58,1.0000e-02,1.3799e+07,-5.13,0.989,526.8
