sep=,
File.......:  puo2_50eu_gbl_107 - JUL;03.2018
System.....:  PuO2_50Eu_gbl_1
Potential..:  0.750V
Current....:  2.2015nA
Temperature:  0.0+-0.0C
Time.......:  12:45:31 - 12:51:48
Comment....:  
              
              
              
(area/cm^2):  Main
potential..:   0.75 V
Impedance samples
Lines:   78
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.1156e+03,1.6816e+04,-54.44,1.000,0.0
2,1.3968e+03,1.4664e+04,-50.15,1.000,1.9
3,1.7489e+03,1.2974e+04,-45.72,0.999,2.4
4,2.1897e+03,1.1655e+04,-41.22,1.000,2.9
5,2.7417e+03,1.0623e+04,-36.85,0.999,3.4
6,3.4327e+03,9.8154e+03,-32.67,1.000,3.9
7,4.2980e+03,9.1844e+03,-28.67,0.999,4.4
8,5.3813e+03,8.6834e+03,-25.07,1.000,4.9
9,6.7377e+03,8.2836e+03,-21.79,1.000,5.4
10,8.4360e+03,7.9610e+03,-18.85,1.000,5.9
11,1.0562e+04,7.6981e+03,-16.20,1.000,6.4
12,1.3225e+04,7.4829e+03,-13.79,1.000,6.8
13,1.6558e+04,7.3041e+03,-11.61,1.000,7.3
14,2.0732e+04,7.1594e+03,-9.59,1.000,7.8
15,2.5957e+04,7.0417e+03,-7.69,1.000,8.3
16,3.2500e+04,6.9536e+03,-5.86,0.999,8.8
17,4.0692e+04,6.8875e+03,-4.07,0.998,9.3
18,5.0948e+04,6.8618e+03,-2.36,1.000,9.8
19,6.3790e+04,6.8654e+03,-0.62,1.000,10.3
20,7.9869e+04,6.9126e+03,1.02,1.000,10.8
21,1.0000e+05,7.0178e+03,2.51,1.000,11.3
22,7.9869e+04,6.9169e+03,1.00,1.000,11.8
23,6.3790e+04,6.8670e+03,-0.63,1.000,12.3
24,5.0948e+04,6.8582e+03,-2.35,1.000,12.8
25,4.0692e+04,6.8887e+03,-4.10,0.999,13.2
26,3.2500e+04,6.9530e+03,-5.90,1.000,13.7
27,2.5957e+04,7.0434e+03,-7.71,1.000,14.2
28,2.0732e+04,7.1613e+03,-9.63,1.000,14.7
29,1.6558e+04,7.3083e+03,-11.65,1.000,15.2
30,1.3225e+04,7.4874e+03,-13.84,1.000,15.7
31,1.0562e+04,7.7055e+03,-16.26,1.000,16.2
32,8.4360e+03,7.9694e+03,-18.94,1.000,16.7
33,6.7377e+03,8.2953e+03,-21.91,1.000,17.2
34,5.3813e+03,8.6991e+03,-25.21,1.000,17.6
35,4.2980e+03,9.2065e+03,-28.83,0.999,18.2
36,3.4327e+03,9.8457e+03,-32.87,1.000,18.6
37,2.7417e+03,1.0664e+04,-37.07,0.999,19.1
38,2.1897e+03,1.1712e+04,-41.47,0.999,19.6
39,1.7489e+03,1.3052e+04,-45.99,1.000,20.1
40,1.3968e+03,1.4771e+04,-50.45,1.000,20.6
41,1.1156e+03,1.6962e+04,-54.76,0.999,21.1
42,8.9104e+02,1.9743e+04,-58.87,0.999,21.5
43,7.1166e+02,2.3257e+04,-62.58,0.999,22.0
44,5.6839e+02,2.7680e+04,-65.94,0.999,22.5
45,4.5397e+02,3.3245e+04,-68.80,0.999,23.0
46,3.6258e+02,4.0152e+04,-71.38,0.999,23.5
47,2.8959e+02,4.8800e+04,-73.64,0.999,24.0
48,2.3129e+02,5.9553e+04,-75.51,1.000,24.5
49,1.8473e+02,7.2943e+04,-76.69,1.000,25.2
50,1.4754e+02,8.9613e+04,-78.07,1.000,25.9
51,1.1784e+02,1.1015e+05,-79.23,1.000,26.5
52,9.4115e+01,1.3600e+05,-80.21,1.000,27.1
53,7.5168e+01,1.6757e+05,-80.95,1.000,27.7
54,5.9720e+01,2.0740e+05,-81.55,0.999,29.1
55,4.7292e+01,2.6080e+05,-82.19,0.999,31.0
56,3.7327e+01,3.2341e+05,-81.98,0.998,32.3
57,2.9364e+01,4.0843e+05,-82.29,0.997,33.8
58,2.3024e+01,5.1337e+05,-81.94,0.997,35.4
59,1.7994e+01,6.4751e+05,-81.52,0.996,37.3
60,1.4016e+01,8.2109e+05,-80.76,0.997,39.8
61,1.0883e+01,1.0420e+06,-79.97,0.997,42.5
62,8.4230e+00,1.3234e+06,-78.95,0.996,45.2
63,6.4987e+00,1.6843e+06,-77.47,0.994,48.3
64,4.9988e+00,2.1414e+06,-75.87,0.993,51.9
65,3.8337e+00,2.7198e+06,-73.78,0.992,56.2
66,2.9318e+00,3.4492e+06,-71.25,0.990,61.3
67,2.2359e+00,4.3511e+06,-68.16,0.988,67.4
68,1.7008e+00,5.4435e+06,-64.55,0.987,76.0
69,1.2907e+00,6.8081e+06,-60.47,0.984,90.1
70,9.7721e-01,8.3799e+06,-55.87,0.982,101.4
71,7.3838e-01,1.0159e+07,-50.93,0.979,122.3
72,5.5689e-01,1.1765e+07,-45.71,0.976,142.2
73,4.1935e-01,1.3652e+07,-40.46,0.976,162.8
74,3.1534e-01,1.5873e+07,-35.52,0.974,193.9
75,2.3687e-01,1.7621e+07,-31.13,0.974,234.0
76,1.7778e-01,1.9454e+07,-27.06,0.973,270.1
77,1.3335e-01,2.1216e+07,-23.61,0.972,312.5
78,1.0000e-01,2.2921e+07,-20.59,0.974,360.3
