sep=,
File.......:  puo2_50eu_gbl_102 - JUL;03.2018

System.....:  PuO2_50Eu_gbl_1
Potential..:  -0.500V
Current....:  -4.4611nA
Temperature:  0.0+-0.0C
Time.......:  12:11:43 - 12:17:59
Comment....:



(area/cm^2):  Main
potential..:  -0.5 V
Impedance samples

Lines:   78
Columns: 5

Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
21,1.0000e+05,7.0337e+03,2.84,1.000,11.3
22,7.9869e+04,6.9322e+03,1.41,1.000,11.8
23,6.3790e+04,6.8817e+03,-0.13,1.000,12.3
24,5.0948e+04,6.8724e+03,-1.71,1.000,12.7
25,4.0692e+04,6.8972e+03,-3.32,1.000,13.2
26,3.2500e+04,6.9518e+03,-4.91,1.000,13.7
27,2.5957e+04,7.0343e+03,-6.56,1.000,14.2
28,2.0732e+04,7.1411e+03,-8.23,1.000,14.7
29,1.6558e+04,7.2743e+03,-9.96,1.000,15.2
30,1.3225e+04,7.4356e+03,-11.81,1.000,15.7
31,1.0562e+04,7.6272e+03,-13.82,1.000,16.2
32,8.4360e+03,7.8579e+03,-16.02,1.000,16.7
33,6.7377e+03,8.1341e+03,-18.41,1.000,17.2
34,5.3813e+03,8.4683e+03,-21.06,1.000,17.6
35,4.2980e+03,8.8756e+03,-23.96,1.000,18.1
36,3.4327e+03,9.3723e+03,-27.22,1.000,18.6
37,2.7417e+03,9.9911e+03,-30.64,1.000,19.1
38,2.1897e+03,1.0761e+04,-34.29,1.000,19.6
39,1.7489e+03,1.1724e+04,-38.15,1.000,20.1
40,1.3968e+03,1.2935e+04,-42.09,1.000,20.6
41,1.1156e+03,1.4456e+04,-46.05,1.000,21.1
42,8.9104e+02,1.6360e+04,-49.98,0.999,21.5
43,7.1166e+02,1.8746e+04,-53.70,0.999,22.0
44,5.6839e+02,2.1726e+04,-57.19,0.999,22.5
45,4.5397e+02,2.5435e+04,-60.33,1.000,23.0
46,3.6258e+02,3.0033e+04,-63.22,0.999,23.5
47,2.8959e+02,3.5716e+04,-65.82,0.999,24.0
48,2.3129e+02,4.2730e+04,-68.08,0.999,24.5
49,1.8473e+02,5.1404e+04,-69.99,1.000,25.0
50,1.4754e+02,6.2004e+04,-71.65,1.000,25.4
51,1.1784e+02,7.5183e+04,-72.73,1.000,26.3
52,9.4115e+01,9.1213e+04,-73.99,1.000,27.1
53,7.5168e+01,1.1077e+05,-74.93,0.999,27.7
54,5.9720e+01,1.3603e+05,-75.90,0.999,29.1
55,4.7292e+01,1.6650e+05,-76.17,0.999,31.0
56,3.7327e+01,2.0560e+05,-76.91,0.998,32.3
57,2.9364e+01,2.5320e+05,-77.00,0.997,33.8
58,2.3024e+01,3.1370e+05,-77.24,0.997,35.4
59,1.7994e+01,3.8936e+05,-77.34,0.996,37.3
60,1.4016e+01,4.8421e+05,-77.36,0.997,39.4
61,1.0883e+01,6.0378e+05,-77.31,0.996,41.6
62,8.4230e+00,7.5501e+05,-77.26,0.995,44.3
63,6.4987e+00,9.4882e+05,-76.92,0.994,48.0
64,4.9988e+00,1.1927e+06,-76.94,0.994,52.0
65,3.8337e+00,1.5054e+06,-76.83,0.993,56.3
66,2.9318e+00,1.9036e+06,-76.63,0.992,61.4
67,2.2359e+00,2.4158e+06,-76.34,0.992,67.6
68,1.7008e+00,3.0686e+06,-75.88,0.992,76.0
69,1.2907e+00,3.9136e+06,-75.40,0.990,85.4
70,9.7721e-01,5.0139e+06,-74.73,0.989,96.7
71,7.3838e-01,6.3829e+06,-73.87,0.989,110.4
72,5.5689e-01,8.1446e+06,-72.73,0.988,126.3
73,4.1935e-01,1.0154e+07,-71.26,0.988,152.7
74,3.1534e-01,1.2909e+07,-69.56,0.987,177.2
75,2.3687e-01,1.6331e+07,-67.50,0.986,207.4
76,1.7778e-01,2.1046e+07,-64.98,0.985,254.9
77,1.3335e-01,2.5730e+07,-61.71,0.984,310.6
78,1.0000e-01,3.1719e+07,-58.08,0.984,358.3

